address,japanese,korean,length
0x00018F6D,伏弌丐,해독 불가,13
0x0001940A,ぇ凍瓊,해독 불가,13
0x00019534,獻獗睾,해독 불가,13
0x0001A009,笋悍圀,해독 불가,13
0x0001BA08,殺殺濃,해독 불가,13
0x0001BD89,脾蹴歟,해독 불가,13
0x0001C186,博詩嚊,해독 불가,13
0x0001D9F0,刧丁藷,해독 불가,13
0x0001E332,霜ぞｐ,해독 불가,13
0x0001E530,瞰肓顱,해독 불가,13
0x0001EA89,怨誌認,해독 불가,13
0x0001EBEA,冐聶蒿,해독 불가,13
0x0001ED1E,耄せ驕,해독 불가,13
0x0001EF22,庶麹瑞,해독 불가,13
0x0001F89B,蒹聢賎,해독 불가,13
0x0001F8B1,憑齲ぜ,해독 불가,13
0x0001FAD6,碎蠍せ,해독 불가,13
0x00020738,宋閤諢,해독 불가,13
0x00020CC3,螺嚼諭,해독 불가,13
0x0002123B,似貢せ,해독 불가,13
0x0009DDD5,韈韋蓆,해독 불가,13
0x0009E46B,鱶韆襁,해독 불가,13
0x0009E482,矣鴃蓆,해독 불가,13
0x0009EC1D,跖袍胛,해독 불가,13
0x0009F2B1,裔矍銹,해독 불가,13
0x0009F302,鞜琅銖,해독 불가,13
0x000A14F5,鱸鳬韜,해독 불가,13
0x000A4C48,豸枚尚,해독 불가,13
0x000A4FBD,鮟嚶糞,해독 불가,13
0x000A5004,箙恊隆,해독 불가,13
0x000A6219,梺荘岫,해독 불가,13
0x000A7100,琅韈鴟,해독 불가,13
0x000A7943,琅肄頏,해독 불가,13
0x000A854E,珞粢銕,해독 불가,13
0x000A8A00,投鰹勸,해독 불가,13
0x000A8C47,豼搴治,해독 불가,13
0x000A9CD8,郛搶崕,해독 불가,13
0x000AAEC3,嚮ヤ拳,해독 불가,13
0x000AB29B,尅旧硲,해독 불가,13
0x000AB33D,嚴滑頗,해독 불가,13
0x000C76C7,逗÷脅,판독 불가,13
0x000C76FA,逗÷特,판독 불가,13
0x000C8AC9,糴粃瞑,판독 불가,13
0x000C8B41,瞼瑣趁,판독 불가,13
0x000C8D45,鰾裲糘,판독 불가,13
0x000C8D55,莽褫跣,판독 불가,13
0x000C9742,粮袙鴒,판독 불가,13
0x000C9888,趁裄糲,판독 불가,13
0x000C9C84,襃趁錮,판독 불가,13
0x000C9CFF,韋裄跚,판독 불가,13
0x000CA4A6,耜銖瞿,판독 불가,13
0x000CA7BF,袱肚跚,판독 불가,13
0x000CA956,葢粳裙,판독 불가,13
0x000CAA21,粡肆鉞,판독 불가,13
0x000CAAED,跋蓙釟,판독 불가,13
0x000CABB9,跏蓍猴,판독 불가,13
0x000CAF6B,珞韆琲,판독 불가,13
0x000CB038,鴃贖蕘,판독 불가,13
0x000CB341,趺粫籏,판독 불가,13
0x000CB606,跟蓊肭,판독 불가,13
0x000FEBB2,紫増朕,해독 불가,13
0x000FED1F,椦悃墫,해독 불가,13
0x000FF259,蟒簓跣,해독 불가,13
0x000FF3C2,簟飜褫,해독 불가,13
0x000FFABE,襃韈蔔,해독 불가,13
0x000FFFE6,跚蓖踝,해독 불가,13
0x00100B70,脛葩蒡,해독 불가,13
0x00100C33,萬靨蓿,해독 불가,13
0x00100D2C,肚跪腋,해독 불가,13
0x001016B9,鈑蓁碎,해독 불가,13
0x00101C36,蔘籬蓆,해독 불가,13
0x001028BE,趺裘跖,해독 불가,13
0x00104284,聒肓粨,해독 불가,13
0x00104BEF,耡鞴趙,해독 불가,13
0x00105FB3,磑釵褓,해독 불가,13
0x001063E6,蔬袗聘,해독 불가,13
0x0010674F,褌韋鰤,해독 불가,13
0x00106900,粤鱠瞽,해독 불가,13
0x00106C70,聽矮跼,해독 불가,13
0x00107F93,鈞鞳礦,해독 불가,13
0x001739A2,瞠珸蒹蒟裹裹裹跚鴈,[깨진 문자열],18
0x0019ED8A,鱚砒鴪,판독 불가,13
0x0019EDF0,鱚砒鴪,판독 불가,13
0x001A37C0,睿褄瞻,판독 불가,13
0x001A540A,袱齏鴈,판독 불가,13
0x001A54B6,砌鉗鵄,판독 불가,13
0x001A5805,猖岾襄,판독 불가,13
0x001A92F9,慫莊筈,판독 불가,13
0x001A93C4,沺撓嵐詞賜蘭緒麿劔,[깨진 문자열],18
0x001A94E2,泅又註潔且蒼綜助悖,[깨진 문자열],18
0x001BA919,猿訣麹麹麹訣訣訣訣,[깨진 문자열],18
0x001BB082,克去訣訣訣訣訣訣示,[깨진 문자열],18
0x001BBCB6,桃訣訣訣訣訣訣兼敖,[깨진 문자열],18
0x00237632,恣級опャхｊ泊徐,[깨진 문자열],18
0x0024520D,裙珞鴆,판독 불가,13
0x0024560B,鱠矣銹,판독 불가,13
0x00246C43,珀珥矜粃聹葢裘趙鞜,[깨진 문자열],18
0x00246FBC,悴撈掠,판독 불가,13
0x0024755D,默靫鯰,판독 불가,13
0x0025043D,汨誌┬,판독 불가,13
0x0025069E,тхъ,판독 불가,13
0x002506E7,鈕胙霾,판독 불가,13
0x00250BAC,洛潟葵,판독 불가,13
0x00250BED,煤亜沐,판독 불가,13
0x00250C52,嚮麹蒼,판독 불가,13
0x00250C70,嚮壕區,판독 불가,13
0x00250C9A,羅悒圄,판독 불가,13
0x00250D9B,狽♀尚,판독 불가,13
0x00250E65,椨唐沽,판독 불가,13
0x00251117,矍蔬聒,판독 불가,13
0x0025225C,вＵУ,판독 불가,13
0x00252290,вＵУ,판독 불가,13
0x00253171,¨¨∪,판독 불가,13
0x00253181,ヽヽ∪,판독 불가,13
0x00253290,、だ,판독 불가,13
0x002536C5,¨¨∪,판독 불가,13
0x002536D5,ヽヽ∪,판독 불가,13
0x002537E4,、だ,판독 불가,13
0x0025439E,＼〜｜,판독 불가,13
0x0025455C,￣「｀,해독 불가,13
0x002555FC,ａａｂ,해독 불가,13
0x00255EE0,υυυ,해독 불가,13
0x00255EEF,υυΧ,해독 불가,13
0x00256253,俔俔俔,해독 불가,13
0x00256261,俔俔俔,해독 불가,13
0x00256787,ヽ´・,해독 불가,13
0x00256A77,俚俚虎,해독 불가,13
0x00256A8D,虎俚虎,해독 불가,13
0x00256AAA,虎俚虎,해독 불가,13
0x0025711E,粂靴元,판독 불가,13
0x00257264,？・,판독 불가,13
0x0025736F,？・,판독 불가,13
0x002576C1,А于,판독 불가,13
0x002578BA,易易安,판독 불가,13
0x002578CA,虎衣,판독 불가,13
0x0025796B,飆賃,판독 불가,13
0x00257A48,『」∪,판독 불가,13
0x00257A5F,『）∪,판독 불가,13
0x00257A68,〃！∪,판독 불가,13
0x00257A8D,．・∪,판독 불가,13
0x00257A96,；？∪,판독 불가,13
0x00257A9F,゛゜∪,판독 불가,13
0x00257AA8,｀¨∪,판독 불가,13
0x00257AB1,￣＿∪,판독 불가,13
0x00257ABA,ヾ＿∪,판독 불가,13
0x00257AC3,＾¨∪,판독 불가,13
0x00257AD3,゛！∪,판독 불가,13
0x00257ADC,；：∪,판독 불가,13
0x00257AE5,．　∪,판독 불가,13
0x00257B5C,…〉±,판독 불가,13
0x00257BAE,《‥∪,판독 불가,13
0x00257BE4,《」∪,판독 불가,13
0x00257C1B,］〉∪,판독 불가,13
0x00257C24,｛“∪,판독 불가,13
0x00257C2D,仝　∪,판독 불가,13
0x00257C67,＾　∪,판독 불가,13
0x00257C88,！〃∪,판독 불가,13
0x00257C93,＿´∪,판독 불가,13
0x00257CC0,、、∪,판독 불가,13
0x00257CC9,、、∪,판독 불가,13
0x00257CD2,、、∪,판독 불가,13
0x00257CDB,、、∪,판독 불가,13
0x00257EBB,，，∪,판독 불가,13
0x00257EC4,。。∪,판독 불가,13
0x00258021,，・∪,판독 불가,13
0x0025802A,＿〃∪,판독 불가,13
0x00258033,＼‥∪,해독 불가,13
0x0025803C,〔｛∪,해독 불가,13
0x0025804C,＋−∪,해독 불가,13
0x00258094,−＋∪,해독 불가,13
0x0025809D,」《∪,해독 불가,13
0x002580AD,‥〇∪,해독 불가,13
0x002580B6,¨？∪,해독 불가,13
0x00258D59,゛゜∪,판독 불가,13
0x00258D62,｀¨∪,판독 불가,13
0x00258D6B,￣＿∪,판독 불가,13
0x00258D74,ヾ＿∪,판독 불가,13
0x00258D7D,＾¨∪,판독 불가,13
0x00258D8D,゛！∪,판독 불가,13
0x00258D96,；：∪,판독 불가,13
0x00258D9F,．　∪,판독 불가,13
0x00258E16,…〉±,판독 불가,13
0x00258E69,《‥∪,판독 불가,13
0x00258E9F,《」∪,판독 불가,13
0x00258ED6,］〉∪,판독 불가,13
0x00258EDF,｛“∪,판독 불가,13
0x00258EE8,仝　∪,판독 불가,13
0x00258F22,＾　∪,판독 불가,13
0x00258F43,！〃∪,판독 불가,13
0x00258F4E,＿´∪,판독 불가,13
0x0025C696,、，，・：．，、　，。、。．・・．。、　Б。．・・．。、,해독 불가,13
0x0026F80A,エτゴ,판독 불가,13
0x0026F81A,エτゴ,판독 불가,13
0x0026F824,エτダ,판독 불가,13
0x0026F834,エτダ,판독 불가,13
0x002727D5,τττττττττカ,판독 불가,13
