address,hex_bytes,text,length,char_count,context,notes
0x000066B4,e0b482b084468946,犇げЁ宇,8,4,,
0x0000895C,e0b484468a46,犇Ё皆,6,3,,
0x00008FD4,e0b48bb09946,犇恐僥,6,3,,
0x0000BF2B,e0c99b80e09a,猖它燠,6,3,,
0x0000BF49,e08ee0ae9bb0,燻牋峅,6,3,,
0x0000BFC2,894692469b46,宇巽妲,6,3,,
0x0000C498,894692469b46,宇巽妲,6,3,,
0x0000C710,894692469b46,宇巽妲,6,3,,
0x0000E9A8,e0b481468a46,犇：皆,6,3,,
0x00011298,e8688142e7d8,鑄。釐,6,3,,
0x000129B2,94be9b8e88be,叛寰粟,6,3,,
0x0001506A,92efe9d3e0e0,抵鰌珥,6,3,,
0x0001543B,e8e8e881e3f697f1,韋閨胯列,8,4,,
0x00015444,89898989e3d09788,演演耙来,8,4,,
0x00015721,94948e8b8b8b,粕視給,6,3,,
0x00015743,8a9181e88edd,椛∬爵,6,3,,
0x0001576C,e2d495e28c8b,籌補結,6,3,,
0x00015954,e5dfe28ce2e5,裃竚粢,6,3,,
0x00015C1D,e8eae9dae1e9,韭鰛硅,6,3,,
0x00015F86,e4e4e4e4e888e8d0,蒿蒿闊靤,8,4,,
0x00016109,e5e2e2f8e8d0,裘糲靤,6,3,,
0x00016436,8f978988848a,女沿ш,6,3,,
0x00016900,e6dde29393e2,赧笂凪,6,3,,
0x00016909,93e2e0f4e0d9e2e2,凪瑶獻粐,8,4,,
0x0001693C,92dde5939192,吊蜩葬,6,3,,
0x00016945,9396e5928cf0e8f0,当蜥交頏,8,4,,
0x000169AE,8f8f899189c1,緒苑加,6,3,,
0x000169C4,9f81e891e858,氈闡鏐,6,3,,
0x00016A07,8ae88cdfe28c,願午竚,6,3,,
0x00016A28,e59293939696,蜥涛末,6,3,,
0x00016A5A,8c92938c9c9f,健東悄,6,3,,
0x00016B10,e1d3e89097e6,瞠關玲,6,3,,
0x00016B1B,94889089e98a,蝿翠驫,6,3,,
0x00016B47,e894949489f791f0,阡粕悔択,8,4,,
0x000175C6,e7d1e9eee992,醵鴃髓,6,3,,
0x00017616,e595e8f88cf8,蝠顏効,6,3,,
0x00017B7C,e88ce0e39693,闌璢俣,6,3,,
0x00017C4D,89d1938c92de,禾東釣,6,3,,
0x00017C60,93df959193cf,那舞苫,6,3,,
0x00017D74,8c9293939393,健涛涛,6,3,,
0x00018120,918a8af0949b,相嬉縛,6,3,,
0x00018174,95a58c8c95f2,払血奉,6,3,,
0x0001822C,929395c895e28c99,駐癖補嫌,8,4,,
0x00018275,e0e3e6d8e0bf,璢齎狒,6,3,,
0x00018790,9e9b949e96f2939e,椦麦薬到,8,4,,
0x000187D0,9484e7cfe0e9,売醯琺,6,3,,
0x000189CF,9c9892989e81,恫著栫,6,3,,
0x000189FE,8cd8e3a29680,鈷罎摩,6,3,,
0x00018F4A,e097e7578fd0,燉躙紹,6,3,,
0x00018F6D,959a989f98a0,伏弌丐,6,3,,
0x0001940A,82a59380e0f9,ぇ凍瓊,6,3,,
0x00019534,e0d9e0d3e1ce,獻獗睾,6,3,,
0x0001A009,e2a29c9b9a9b,笋悍圀,6,3,,
0x0001A51C,e995959992e5e2de,髟蕗貞籥,8,4,,
0x0001BA08,8e458e45945a,殺殺濃,6,3,,
0x0001BD89,e4428f529f62,脾蹴歟,6,3,,
0x0001C186,948e8e8d9a87,博詩嚊,6,3,,
0x0001C6BC,9a9a8d8f8f8d9d88,囹刻渚揶,8,4,,
0x0001D9F0,9987929a8f93,刧丁藷,6,3,,
0x0001E332,919a82bc8290,霜ぞｐ,6,3,,
0x0001E530,e1d5e3e9e940,瞰肓顱,6,3,,
0x0001EA89,89858e8f9446,怨誌認,6,3,,
0x0001EBEA,e3ece3e1e4e4,冐聶蒿,6,3,,
0x0001ED1E,e3cc82b9e981,耄せ驕,6,3,,
0x0001EF22,8f8e8d8d9090,庶麹瑞,6,3,,
0x0001F5AC,90948a68939a9a86,数撹答嚀,8,4,,
0x0001F89B,e4e3e3dc9147,蒹聢賎,6,3,,
0x0001F8B1,9cdfea9a82ba,憑齲ぜ,6,3,,
0x0001FAD6,e1eae5b682b9,碎蠍せ,6,3,,
0x00020738,91768d7de684,宋閤諢,6,3,,
0x00020CC3,97869a909740,螺嚼諭,6,3,,
0x0002123B,8e978d7682b9,似貢せ,6,3,,
0x00022D21,919999999199,鎗劔鎗,6,3,,
0x00024650,919999999199,鎗劔鎗,6,3,,
0x00029058,99999999999999999a9999999a999999,劔劔劔劔囮劔囮劔,16,8,,
0x0002AFD8,99999999999999999a9999999a999999,劔劔劔劔囮劔囮劔,16,8,,
0x0002BFBC,8e8888d88e8888ed9e99,肢畏肢逸棘,10,5,,
0x0002C4B8,e888e888e888e888e999e99ee999e99ee999e9efe999,闊闊闊闊髯髷髯髷髯鴆髯,22,11,,
0x0002C7D8,8ee8e8888ee8e8889ee9e9999ee9e9999ee9e999,手闊手闊樣髯樣髯樣髯,20,10,,
0x0002CF58,99999999999999999a9999999a999999,劔劔劔劔囮劔囮劔,16,8,,
0x0002EED8,99999999999999999a9999999a999999,劔劔劔劔囮劔囮劔,16,8,,
0x00032613,e55ee99ee55e,蘓髷蘓,6,3,,
0x0003460A,97f097f097f097f0,歴歴歴歴,8,4,,
0x0003461D,97f097f097f08ff097f08ff0,歴歴歴条歴条,12,6,,
0x0003462E,97f097f097f097f097f097f0,歴歴歴歴歴歴,12,6,,
0x0003B79E,e9e5e3e5e9ed,鱧肄鳫,6,3,,
0x0003BDEF,e7e1e0e3e3e3e7ed,釿璢聽鈿,8,4,,
0x0003BF99,e2e5e4e5e7e6,粢蒟鉞,6,3,,
0x0003C008,e9e5e5e8e3e1,鱧裴聶,6,3,,
0x0003C436,e8e1e7ece9ed,鞦銕鳫,6,3,,
0x0003C44B,e8e7e6e6e8e2,韈跏鞣,6,3,,
0x0003CDBE,e9dfe1e6e8eb,鱇礦齏,6,3,,
0x0003CEB4,e1e6e9e7e9e5,礦鱸鱧,6,3,,
0x0003D44F,e1dde5ede6cc,矍褊賣,6,3,,
0x0003D607,e3e3e0dde0eb,聽珎琿,6,3,,
0x0003D701,e8e2e3e5e5ed,鞣肄褊,6,3,,
0x0003DA23,e4e0e5ebe6dd,萵褄赧,6,3,,
0x0003DA53,e8e6e7e8e7e3e6f3,韆鉅鈬跿,8,4,,
0x0003E227,e8efe8d6e6df,韵靹赱,6,3,,
0x0003E851,e1e2e6c48f86,矮貽醇,6,3,,
