address,japanese,korean,length
0x0000895C,犇Ё皆,사나환,6
0x00008FD4,犇恐僥,리로단,6
0x00016A07,願午竚,서원가,6
0x00016A28,蜥涛末,전천류,6
0x00016A5A,健東悄,원오저,6
0x00016B10,瞠關玲,석도말,6
0x00016B1B,蝿翠驫,건동초,6
0x000175C6,醵鴃髓,당관령,6
0x00017616,蝠顏効,승취표,6
0x00017B7C,闌璢俣,갹격수,6
0x00017D74,健涛涛,화동조,6
0x00018120,相嬉縛,나무점,6
0x00018174,払血奉,건도도,6
0x00018275,璢齎狒,상희박,6
0x000187D0,売醯琺,불혈봉,6
0x000189CF,恫著栫,유제비,6
0x000189FE,鈷罎摩,매혜법,6
0x00018F4A,燉躙紹,통저천,6
0x00019534,獻獗睾,복일개,6
0x0001A009,笋悍圀,얼동경,6
0x0001BA08,殺殺濃,헌궐고,6
0x0001BD89,脾蹴歟,순한국,6
0x0001C186,博詩嚊,살살농,6
0x0001D9F0,刧丁藷,비축여,6
0x0001E332,霜ぞｐ,박시비,6
0x0001E530,瞰肓顱,겁정저,6
0x0001ED1E,耄せ驕,원지인,6
0x0001EF22,庶麹瑞,모섭호,6
0x0001F89B,蒹聢賎,모세교,6
0x0001F8B1,憑齲ぜ,서국서,6
0x0001FAD6,碎蠍せ,겸정천,6
0x00020738,宋閤諢,빙우제,6
0x00020CC3,螺嚼諭,쇄갈세,6
0x0002123B,似貢せ,송합혼,6
0x00032613,蘓髷蘓,창검창,6
0x0003461D,歴歴歴条歴条,기갑,12
0x0003462E,歴歴歴歴歴歴,전차,12
0x0003B79E,鱧肄鳫,창검창,6
0x0003BF99,粢蒟鉞,소마소,6
0x0003C008,鱧裴聶,려이안,6
0x0003C436,鞦銕鳫,자구월,6
0x0003C44B,韈跏鞣,려배섭,6
0x0003CDBE,鱇礦齏,추철안,6
0x0003CEB4,礦鱸鱧,말가유,6
0x0003D701,鞣肄褊,보병대,6
0x0003DA23,萵褄赧,기갑대,6
0x0003ED10,粮蠱悁,운나주,6
0x0003F916,橿昭謄,왜이순,6
0x0003FAF9,袤肓鴿,양고연,6
0x0003FBD5,賍矮瑙,강소등,6
0x0003FE68,冐籤碚,무황합,6
0x0003FFDA,鉗裴簽,장왜노,6
0x000401BE,蹂裲鰤,모첨배,6
0x00040C93,送メ＆,겸배첨,6
0x00040D18,負麿勳,유량방,6
0x00041040,投李擒,부마훈,6
0x0004128B,鰄肬胙,전차대,6
0x00041B62,肆粮鴿,포병대,6
0x00043852,剌鵠擇,모첨배,6
0x000438C8,剽硴洳,겸배첨,6
0x00043A4D,檮到末,랄곡택,6
0x00043B31,磅靼蓙,표화여,6
0x00043C33,葢碎跂,도도말,6
0x00043C80,礦粫肆,방달좌,6
0x00043D0D,醤鯑猜,개쇄기,6
0x000441B5,裙跫聹,광이사,6
0x0004628E,蓴釵蟠,장희시,6
0x0004629F,贓逋閑,군공녕,6
0x000472BB,粲鞣鞆,순채반,6
0x0004792A,此磑肆,장포한,6
0x000480A1,砒玻粨,정찰대,6
0x000485D4,袱冐贍,공병대,6
0x00049D85,璞鳬萵,저격대,6
0x0004B1F0,竟玻蓼,야전포,6
0x0004D10E,裃裨矼,박격포,6
0x0004D6AB,聳葢糯,방공포,6
0x0004DC32,銖踟醫,수송대,6
0x0004E20E,李尠畠,의무대,6
0x0004E4B7,荵潔悋,보급대,6
0x0004E89F,遵÷ю,이선전,6
0x0004E9A1,棊鋳等,인결린,6
0x0004EB0A,搏渚傷,준÷ю,6
0x0004EC00,汳諮律,기주등,6
0x0004EC13,摶博飼圀部劵,포병,12
0x0004ECE4,÷÷鎌,박저상,6
0x0004ED4F,着÷′,변자율,6
0x0004EEC8,亦数圍,÷÷겸,6
0x0004EF9C,鞜琅萬,착÷′,6
0x0004FA58,絡鵠涎,지휘부,6
0x0004FB1E,摶酎裡,방어선,6
0x00050099,嚊÷亜,기동대,6
0x0005013E,項≠埓,대대,6
0x00050189,桾署圻,돌격대,6
0x00055F75,矣瑕鞜,경전차,6
0x0005951E,聶裃粨,중기갑,6
0x0005B820,旧名鞴,섭하백,6
0x0005BBEF,剄湯蜜,장저검,6
0x0005C803,翅嚆慴,구명비,6
0x0005C8C8,椢剪乘,경탕밀,6
0x0005CAD0,粡齏鱆,시효섭,6
0x0005CCE8,砒籤琲,국전승,6
0x0005CD04,酣泱悛,동제장,6
0x0005CD61,粢裘顆,비첨배,6
0x0005CE7A,粐裔硅,감앙전,6
0x0005D88A,肆蒿襃,자구과,6
0x0005E580,袵跏慣,호예규,6
0x0005E8BD,悧悒屬,사호포,6
0x0005EB0B,聰砠袰,임가관,6
0x000606F8,葫打貔,이읍속,6
0x000613F9,顆萬瞑,총저모,6
0x00061E4E,佳逐箴,호타비,6
0x00062AB1,盪攸聆,과만명,6
0x0006388F,袒跼鱆,가축잠,6
0x00063C26,摎撼劒,탕유령,6
0x00069E47,鞣珞鈿,단국장,6
0x0006B697,筰囹垤,교감검,6
0x0006B702,罨囹垓,유락전,6
0x0006B88C,蓆耡胛,작령질,6
0x00070253,聶裘蒿,엄령해,6
0x00070D8A,鰡珀碣,석서갑,6
0x000713D2,葯籬銜,섭구호,6
0x00074469,韋趙蓖,유백갈,6
0x00074882,韜瞼鴒,약리함,6
0x000766A3,鵄肄蠢,위조비,6
0x000767AB,鴦籐璢,도검령,6
0x0007685C,鴉蕣貘,치이준,6
0x0007D6F5,肓鞣粮,앙등유,6
0x0007D83D,矣珞頷,아순맥,6
0x0007D959,璢蒟頌,황유량,6
0x0007E0E7,裝裴鈞,의락함,6
0x0007E6B0,鈑跌鞨,유구송,6
0x0007EAEB,粡鈬蒡,장배균,6
0x0007EE76,瑯鉗頌,판질갈,6
0x0007F179,肄裹鴦,동탁방,6
0x0007F296,鞣矼鈑,낭겸송,6
0x0007F88F,鈔珞葢,이과앙,6
0x0007FAF7,鞨瑯鈬,유강판,6
0x0007FB01,璢聽鉐,초락개,6
0x0007FCB4,粫趙琥,갈랑탁,6
0x0007FD16,籖珮矚,유청석,6
0x00081687,癶＞惻,이조호,6
0x00081977,霑揉＄,첨패촉,6
0x00081B11,鱚籬粳,발＞측,6
0x00081C25,盥陪遠,점유＄,6
0x00081C70,郤普侃,희리갱,6
0x00087107,糶霖鞜,근랑짐,6
