address,char_count,hex_bytes,japanese,korean_translation,notes
0x0000895C,3,e0b484468a46,犇Ё皆,,
0x00008FD4,3,e0b48bb09946,犇恐僥,,
0x0000BF2B,3,e0c99b80e09a,猖它燠,,
0x0000BF49,3,e08ee0ae9bb0,燻牋峅,,
0x0000BFC2,3,894692469b46,宇巽妲,,
0x0000C498,3,894692469b46,宇巽妲,,
0x0000C710,3,894692469b46,宇巽妲,,
0x0000E9A8,3,e0b481468a46,犇：皆,,
0x00011298,3,e8688142e7d8,鑄。釐,,
0x000129B2,3,94be9b8e88be,叛寰粟,,
0x0001506A,3,92efe9d3e0e0,抵鰌珥,,
0x00015721,3,94948e8b8b8b,粕視給,,
0x00015743,3,8a9181e88edd,椛∬爵,,
0x0001576C,3,e2d495e28c8b,籌補結,,
0x00015954,3,e5dfe28ce2e5,裃竚粢,,
0x00015C1D,3,e8eae9dae1e9,韭鰛硅,,
0x00016109,3,e5e2e2f8e8d0,裘糲靤,,
0x00016436,3,8f978988848a,女沿ш,,
0x00016900,3,e6dde29393e2,赧笂凪,,
0x0001693C,3,92dde5939192,吊蜩葬,,
0x000169AE,3,8f8f899189c1,緒苑加,,
0x000169C4,3,9f81e891e858,氈闡鏐,,
0x00016A07,3,8ae88cdfe28c,願午竚,,
0x00016A28,3,e59293939696,蜥涛末,,
0x00016A5A,3,8c92938c9c9f,健東悄,,
0x00016B10,3,e1d3e89097e6,瞠關玲,,
0x00016B1B,3,94889089e98a,蝿翠驫,,
0x000175C6,3,e7d1e9eee992,醵鴃髓,,
0x00017616,3,e595e8f88cf8,蝠顏効,,
0x00017B7C,3,e88ce0e39693,闌璢俣,,
0x00017C4D,3,89d1938c92de,禾東釣,,
0x00017C60,3,93df959193cf,那舞苫,,
0x00017D74,3,8c9293939393,健涛涛,,
0x00018120,3,918a8af0949b,相嬉縛,,
0x00018174,3,95a58c8c95f2,払血奉,,
0x00018275,3,e0e3e6d8e0bf,璢齎狒,,
0x000187D0,3,9484e7cfe0e9,売醯琺,,
0x000189CF,3,9c9892989e81,恫著栫,,
0x000189FE,3,8cd8e3a29680,鈷罎摩,,
0x00018F4A,3,e097e7578fd0,燉躙紹,,
0x00018F6D,3,959a989f98a0,伏弌丐,,
0x0001940A,3,82a59380e0f9,ぇ凍瓊,,
0x00019534,3,e0d9e0d3e1ce,獻獗睾,,
0x0001A009,3,e2a29c9b9a9b,笋悍圀,,
0x0001BA08,3,8e458e45945a,殺殺濃,,
0x0001BD89,3,e4428f529f62,脾蹴歟,,
0x0001C186,3,948e8e8d9a87,博詩嚊,,
0x0001D9F0,3,9987929a8f93,刧丁藷,,
0x0001E332,3,919a82bc8290,霜ぞｐ,,
0x0001E530,3,e1d5e3e9e940,瞰肓顱,,
0x0001EA89,3,89858e8f9446,怨誌認,,
0x0001EBEA,3,e3ece3e1e4e4,冐聶蒿,,
0x0001ED1E,3,e3cc82b9e981,耄せ驕,,
0x0001EF22,3,8f8e8d8d9090,庶麹瑞,,
0x0001F89B,3,e4e3e3dc9147,蒹聢賎,,
0x0001F8B1,3,9cdfea9a82ba,憑齲ぜ,,
0x0001FAD6,3,e1eae5b682b9,碎蠍せ,,
0x00020738,3,91768d7de684,宋閤諢,,
0x00020CC3,3,97869a909740,螺嚼諭,,
0x0002123B,3,8e978d7682b9,似貢せ,,
0x00022D21,3,919999999199,鎗劔鎗,,
0x00024650,3,919999999199,鎗劔鎗,,
0x00032613,3,e55ee99ee55e,蘓髷蘓,,
0x0003B79E,3,e9e5e3e5e9ed,鱧肄鳫,,
0x0003BF99,3,e2e5e4e5e7e6,粢蒟鉞,,
0x0003C008,3,e9e5e5e8e3e1,鱧裴聶,,
0x0003C436,3,e8e1e7ece9ed,鞦銕鳫,,
0x0003C44B,3,e8e7e6e6e8e2,韈跏鞣,,
0x0003CDBE,3,e9dfe1e6e8eb,鱇礦齏,,
0x0003CEB4,3,e1e6e9e7e9e5,礦鱸鱧,,
0x0003D44F,3,e1dde5ede6cc,矍褊賣,,
0x0003D607,3,e3e3e0dde0eb,聽珎琿,,
0x0003D701,3,e8e2e3e5e5ed,鞣肄褊,,
0x0003DA23,3,e4e0e5ebe6dd,萵褄赧,,
0x0003E227,3,e8efe8d6e6df,韵靹赱,,
0x0003E851,3,e1e2e6c48f86,矮貽醇,,
0x0003ED10,3,e2ece5c19c9a,粮蠱悁,,
0x0003F916,3,8a808fba93a3,橿昭謄,,
0x0003FAF9,3,e5dbe3e9e9f9,袤肓鴿,,
0x0003FBD5,3,e6dae1e2e0ed,賍矮瑙,,
0x0003FE68,3,e3ece2dce1ee,冐籤碚,,
0x0003FFDA,3,e7e7e5e8e2d3,鉗裴簽,,
0x000401BE,3,e6f8e5eae9dc,蹂裲鰤,,
0x00040C93,3,919783818195,送メ＆,,
0x00040D18,3,9589969b99ac,負麿勳,,
0x00040FE8,3,9ba097c3e5bc,屏療蠑,,
0x00041040,3,938a979b9da0,投李擒,,
0x0004128B,3,e9d8e3ede3f0,鰄肬胙,,
0x00041B62,3,e3e6e2ece9f9,肆粮鴿,,
0x000424FC,3,e6d4e9f4e9e9,贇鴟鳬,,
0x00043852,3,998f8d949da2,剌鵠擇,,
0x000438C8,3,9997e1eb9fac,剽硴洳,,
0x00043A4D,3,9e8d939e9696,檮到末,,
0x00043B31,3,e1fae8d8e4e6,磅靼蓙,,
0x00043C33,3,e4e2e1eae6e3,葢碎跂,,
0x00043C80,3,e1e6e2e6e3e6,礦粫肆,,
0x00043D0D,3,8fdde9c4e0c8,醤鯑猜,,
0x000441B5,3,e5e3e6ede3e2,裙跫聹,,
0x0004628E,3,e4f1e7dee5b4,蓴釵蟠,,
0x0004629F,3,e6d9e7998ad5,贓逋閑,,
0x000472BB,3,e2eae8e2e8db,粲鞣鞆,,
0x0004792A,3,8d9fe1f4e3e6,此磑肆,,
0x000480A1,3,e1e5e0dee2e8,砒玻粨,,
0x000485D4,3,e5dee3ece6d6,袱冐贍,,
0x00049D85,3,e0f7e9e9e4e0,璞鳬萵,,
0x0004AFAF,3,e5d7e1efe2e8,袮碌粨,,
0x0004B1F0,3,e8ede0dee4f8,竟玻蓼,,
0x0004D10E,3,e5dfe5e9e1e3,裃裨矼,,
0x0004D6AB,3,e3dee4e2e2f7,聳葢糯,,
0x0004DC32,3,e7f1e6f7e7ce,銖踟醫,,
0x0004E20E,3,979b9b9694a9,李尠畠,,
0x0004E4B7,3,e4b98c899ca5,荵潔悋,,
0x0004E89F,3,8f8581808490,遵÷ю,,
0x0004E9A1,3,9e9792929399,棊鋳等,,
0x0004EB0A,3,9d938f8d8f9d,搏渚傷,,
0x0004EC00,3,9f928e9097a5,汳諮律,,
0x0004ECE4,3,818081808a99,÷÷鎌,,
0x0004ED4F,3,92858180818c,着÷′,,
0x0004EEC8,3,969290949aa1,亦数圍,,
0x0004EF9C,3,e8dfe0e4e4dd,鞜琅萬,,
0x0004F011,3,e7bc9e8e92a3,郛梹張,,
0x0004F164,3,9184828590a5,槍ｅ是,,
