0 addr=08DF2B5C pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B5C r1=00000002 old=08B84EF0 new=00000000
1 addr=08B84EF0 pc=08B3C1A8 lr=08B10021 r0=08B3C1A1 r1=00000000 old=00000088 new=00000000
2 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000000 r1=08B842E8 old=00000088 new=00000000
3 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EA old=00000088 new=00000000
4 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=0000008E r1=08B842EC old=00000088 new=00000000
5 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EE old=00000088 new=00000000
6 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000092 r1=08B842F0 old=00000088 new=00000000
7 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=0000008A r1=08B842F2 old=00000088 new=00000000
8 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=0000008C r1=08B842F4 old=00000088 new=00000000
9 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000088 r1=08B842F6 old=00000088 new=00000000
10 addr=08B84EF1 pc=08B3C1DA lr=08B10021 r0=08B842F7 r1=00000088 old=00000049 new=00000000
11 addr=08B84EF0 pc=08B3C1CE lr=08B10021 r0=00000088 r1=08B842F8 old=00000088 new=00000000
12 addr=08B84EF1 pc=08B3C1DA lr=08B10021 r0=08B842F9 r1=00000088 old=00000049 new=00000000
13 addr=08B84EF2 pc=08B3C21E lr=08B0FF93 r0=08B84EF2 r1=00000002 old=00000091 new=00000000
14 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000100 r1=08B842E8 old=00000091 new=00000000
15 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=00000091 new=00000000
16 addr=08B84EF3 pc=08B3C1DA lr=08B0FF93 r0=08B842EB r1=00000091 old=000000C2 new=00000000
17 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=00000091 new=00000000
18 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=00000091 new=00000000
19 addr=08B84EF3 pc=08B3C1DA lr=08B0FF93 r0=08B842EF r1=00000091 old=000000C2 new=00000000
20 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=00000091 new=00000000
21 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008A r1=08B842F2 old=00000091 new=00000000
22 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B842F4 old=00000091 new=00000000
23 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F6 old=00000091 new=00000000
24 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F8 old=00000091 new=00000000
25 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842FA old=00000091 new=00000000
26 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842FC old=00000091 new=00000000
27 addr=08B84EF3 pc=08B3C1DA lr=08B0FF93 r0=08B842FD r1=00000091 old=000000C2 new=00000000
28 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008D r1=08B842FE old=00000091 new=00000000
29 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84300 old=00000091 new=00000000
30 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84302 old=00000091 new=00000000
31 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B84304 old=00000091 new=00000000
32 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B84306 old=00000091 new=00000000
33 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008B r1=08B84308 old=00000091 new=00000000
34 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008D r1=08B8430A old=00000091 new=00000000
35 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B8430C old=00000091 new=00000000
36 addr=08B84EF2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B8430E old=00000091 new=00000000
37 addr=08B84EF3 pc=08B3C1DA lr=08B0FF93 r0=08B8430F r1=00000091 old=000000C2 new=00000000
38 addr=08B84EF4 pc=08B3C21E lr=08B0FF93 r0=08B84EF4 r1=00000004 old=00000000 new=00000000
39 addr=08DF2B5C pc=08B3C526 lr=08B14061 r0=08DF2B5C r1=0201AD38 old=08B84EF0 new=00000000
40 addr=08B84EF0 pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=00000088 new=00000000
41 addr=08B84EF0 pc=08B3C15A lr=08B140CF r0=00000088 r1=03000F46 old=00000088 new=00000000
42 addr=08B84EF1 pc=08B3C162 lr=08B140CF r0=00000088 r1=00000001 old=00000049 new=00000000
43 addr=08B84EF1 pc=08B3C16C lr=08B140CF r0=08B84EF1 r1=01000000 old=00000049 new=00000000
44 addr=08B84EF1 pc=08B3C15A lr=08B140CF r0=00000049 r1=03000F47 old=00000049 new=00000000
45 addr=08B84EF2 pc=08B3C162 lr=08B140CF r0=00000049 r1=00000002 old=00000091 new=00000000
46 addr=08B84EF2 pc=08B3C16C lr=08B140CF r0=08B84EF2 r1=02000000 old=00000091 new=00000000
47 addr=08B84EF2 pc=08B3C15A lr=08B140CF r0=00000091 r1=03000F48 old=00000091 new=00000000
48 addr=08B84EF3 pc=08B3C162 lr=08B140CF r0=00000091 r1=00000003 old=000000C2 new=00000000
49 addr=08B84EF3 pc=08B3C16C lr=08B140CF r0=08B84EF3 r1=03000000 old=000000C2 new=00000000
50 addr=08B84EF3 pc=08B3C15A lr=08B140CF r0=000000C2 r1=03000F49 old=000000C2 new=00000000
51 addr=08B84EF4 pc=08B3C162 lr=08B140CF r0=000000C2 r1=00000004 old=00000000 new=00000000
52 addr=08B84EF4 pc=08B3C16C lr=08B140CF r0=08B84EF4 r1=04000000 old=00000000 new=00000000
