0 addr=08DF2B60 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B60 r1=00000003 old=08B84EE0 new=00000000
1 addr=08B84EE0 pc=08B3C1A8 lr=08B10021 r0=08B3C1A1 r1=00000000 old=0000008D new=00000000
2 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000000 r1=08B842E8 old=0000008D new=00000000
3 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EA old=0000008D new=00000000
4 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008E r1=08B842EC old=0000008D new=00000000
5 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EE old=0000008D new=00000000
6 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000092 r1=08B842F0 old=0000008D new=00000000
7 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008A r1=08B842F2 old=0000008D new=00000000
8 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008C r1=08B842F4 old=0000008D new=00000000
9 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000088 r1=08B842F6 old=0000008D new=00000000
10 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000088 r1=08B842F8 old=0000008D new=00000000
11 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008E r1=08B842FA old=0000008D new=00000000
12 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842FC old=0000008D new=00000000
13 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008D r1=08B842FE old=0000008D new=00000000
14 addr=08B84EE1 pc=08B3C1DA lr=08B10021 r0=08B842FF r1=0000008D old=000000C6 new=00000000
15 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008F r1=08B84300 old=0000008D new=00000000
16 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008F r1=08B84302 old=0000008D new=00000000
17 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=00000088 r1=08B84304 old=0000008D new=00000000
18 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008E r1=08B84306 old=0000008D new=00000000
19 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008B r1=08B84308 old=0000008D new=00000000
20 addr=08B84EE0 pc=08B3C1CE lr=08B10021 r0=0000008D r1=08B8430A old=0000008D new=00000000
21 addr=08B84EE1 pc=08B3C1DA lr=08B10021 r0=08B8430B r1=0000008D old=000000C6 new=00000000
22 addr=08B84EE2 pc=08B3C21E lr=08B0FF93 r0=08B84EE2 r1=00000002 old=0000008C new=00000000
23 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000100 r1=08B842E8 old=0000008C new=00000000
24 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=0000008C new=00000000
25 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=0000008C new=00000000
26 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=0000008C new=00000000
