0 addr=08DF2B78 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B78 r1=00000009 old=08B84E64 new=00000000
1 addr=08B84E64 pc=08B3C1A8 lr=08B10021 r0=08B3C1A1 r1=00000000 old=00000091 new=00000000
2 addr=08B84E64 pc=08B3C1CE lr=08B10021 r0=00000000 r1=08B842E8 old=00000091 new=00000000
3 addr=08B84E64 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EA old=00000091 new=00000000
4 addr=08B84E65 pc=08B3C1DA lr=08B10021 r0=08B842EB r1=00000091 old=000000B3 new=00000000
5 addr=08B84E64 pc=08B3C1CE lr=08B10021 r0=0000008E r1=08B842EC old=00000091 new=00000000
6 addr=08B84E64 pc=08B3C1CE lr=08B10021 r0=00000091 r1=08B842EE old=00000091 new=00000000
7 addr=08B84E65 pc=08B3C1DA lr=08B10021 r0=08B842EF r1=00000091 old=000000B3 new=00000000
8 addr=08B84E66 pc=08B3C21E lr=08B0FF93 r0=08B84E66 r1=00000002 old=00000092 new=00000000
9 addr=08B84E66 pc=08B3C1CE lr=08B0FF93 r0=00000100 r1=08B842E8 old=00000092 new=00000000
10 addr=08B84E66 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=00000092 new=00000000
11 addr=08B84E66 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=00000092 new=00000000
12 addr=08B84E66 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=00000092 new=00000000
13 addr=08B84E66 pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=00000092 new=00000000
14 addr=08B84E67 pc=08B3C1DA lr=08B0FF93 r0=08B842F1 r1=00000092 old=00000059 new=00000000
15 addr=08B84E68 pc=08B3C21E lr=08B0FF93 r0=08B84E68 r1=00000004 old=0000008A new=00000000
16 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=00000200 r1=08B842E8 old=0000008A new=00000000
17 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=0000008A new=00000000
18 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=0000008A new=00000000
19 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=0000008A new=00000000
20 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=0000008A new=00000000
21 addr=08B84E68 pc=08B3C1CE lr=08B0FF93 r0=0000008A r1=08B842F2 old=0000008A new=00000000
22 addr=08B84E69 pc=08B3C1DA lr=08B0FF93 r0=08B842F3 r1=0000008A old=0000005A new=00000000
23 addr=08B84E6A pc=08B3C21E lr=08B0FF93 r0=08B84E6A r1=00000006 old=00000000 new=00000000
24 addr=08DF2B78 pc=08B3C526 lr=08B14061 r0=08DF2B78 r1=0201AD38 old=08B84E64 new=00000000
25 addr=08B84E64 pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=00000091 new=00000000
26 addr=08B84E64 pc=08B3C15A lr=08B140CF r0=00000091 r1=03000F46 old=00000091 new=00000000
27 addr=08B84E65 pc=08B3C162 lr=08B140CF r0=00000091 r1=00000001 old=000000B3 new=00000000
28 addr=08B84E65 pc=08B3C16C lr=08B140CF r0=08B84E65 r1=01000000 old=000000B3 new=00000000
29 addr=08B84E65 pc=08B3C15A lr=08B140CF r0=000000B3 r1=03000F47 old=000000B3 new=00000000
30 addr=08B84E66 pc=08B3C162 lr=08B140CF r0=000000B3 r1=00000002 old=00000092 new=00000000
31 addr=08B84E66 pc=08B3C16C lr=08B140CF r0=08B84E66 r1=02000000 old=00000092 new=00000000
32 addr=08B84E66 pc=08B3C15A lr=08B140CF r0=00000092 r1=03000F48 old=00000092 new=00000000
33 addr=08B84E67 pc=08B3C162 lr=08B140CF r0=00000092 r1=00000003 old=00000059 new=00000000
34 addr=08B84E67 pc=08B3C16C lr=08B140CF r0=08B84E67 r1=03000000 old=00000059 new=00000000
35 addr=08B84E67 pc=08B3C15A lr=08B140CF r0=00000059 r1=03000F49 old=00000059 new=00000000
36 addr=08B84E68 pc=08B3C162 lr=08B140CF r0=00000059 r1=00000004 old=0000008A new=00000000
37 addr=08B84E68 pc=08B3C16C lr=08B140CF r0=08B84E68 r1=04000000 old=0000008A new=00000000
38 addr=08B84E68 pc=08B3C15A lr=08B140CF r0=0000008A r1=03000F4A old=0000008A new=00000000
39 addr=08B84E69 pc=08B3C162 lr=08B140CF r0=0000008A r1=00000005 old=0000005A new=00000000
40 addr=08B84E69 pc=08B3C16C lr=08B140CF r0=08B84E69 r1=05000000 old=0000005A new=00000000
41 addr=08B84E69 pc=08B3C15A lr=08B140CF r0=0000005A r1=03000F4B old=0000005A new=00000000
42 addr=08B84E6A pc=08B3C162 lr=08B140CF r0=0000005A r1=00000006 old=00000000 new=00000000
43 addr=08B84E6A pc=08B3C16C lr=08B140CF r0=08B84E6A r1=06000000 old=00000000 new=00000000
